folder,album_artist,album,current_genre,tracks,new_genre,
Y:\Oasis\Albums\Oasis - 2008 - Dig Out Your Soul,Oasis,Dig Out Your Soul,Rock,13,Rock,
Y:\Oasis\Albums\Oasis - 2008 - Dig Out Your Soul\CD2 - Box Set Bonus CD,Oasis,Dig Out Your Soul,Rock,9,Rock,
Y:\Oasis\Albums\Oasis - 2005 - Don't Believe The Truth,Oasis,Don't Believe the Truth,Rock,11,Rock,
Y:\Oasis\Singles\Oasis - 1998.02.19 - Don't Go Away,Oasis,Don't Go Away,Rock,4,Rock,
Y:\Oasis\Singles\Oasis - 1996.02.19 - Don't Look Back In Anger,Oasis,Don't Look Back In Anger,Rock,4,Rock,
Y:\Oasis\Singles\Oasis - 1997.07.07 - D'You Know What I Mean,Oasis,D'You Know What I Mean?,Rock,4,Rock,
Y:\Oasis\Singles\Oasis - 2009.05.09 - Falling Down (Japan Edition),Oasis,Falling Down (Japan Edition),Rock,5,Rock,
Y:\Oasis\Live\Oasis - 2000 - Familiar to Millions (1 CD),Oasis,Familiar To Millions,Rock,13,Rock,
Y:\Oasis\Live\Oasis - 2000 - Familiar to Millions (2 CD)\CD1,Oasis,Familiar To Millions,Rock,10,Rock,
Y:\Oasis\Live\Oasis - 2000 - Familiar to Millions (2 CD)\CD2,Oasis,Familiar to Millions,Rock,8,Rock,
Y:\Oasis\Singles\Oasis - 2000.02.07 - Go Let It Out,Oasis,Go Let It Out!,Rock,3,Rock,
Y:\Oasis\Albums\Oasis - 2002 - Heathen Chemistry,Oasis,Heathen Chemistry,Rock,11,Rock,
Y:\Oasis\Singles\Oasis - 2008.12.01 - I'm Outta Time (Japan Edition),Oasis,I'm Outta Time,Rock,5,Rock,
Y:\Oasis\Singles\Oasis - 2005.11.28 - Let There Be Love,Oasis,Let There Be Love,Rock,3,Rock,
Y:\Oasis\Singles\Oasis - 2002.09.23 - Little By Little - She Is Love,Oasis,Little By Little / She Is Love,Rock,3,Rock,
Y:\Oasis\Singles\Oasis - 1994.08.08 - Live Forever,Oasis,Live Forever,Rock,4,Rock,
Y:\Oasis\Singles\Oasis - 2007.10.21 - Lord Don't Slow Me Down,Oasis,Lord Don't Slow Me Down,Rock,1,Rock,
Y:\Oasis\Singles\Oasis - 2005.05.16 - Lyla,Oasis,Lyla,Rock,3,Rock,
Y:\Oasis\Singles\Oasis - 1995.09.15 - Morning Glory,Oasis,Morning Glory,Rock,4,Rock,
Y:\Oasis\Singles\Oasis - 1995.08.14 - Roll With It,Oasis,Roll With It,Rock,4,Rock,
Y:\Oasis\Singles\Oasis - 1994.06.13 - Shakermaker,Oasis,Shakermaker,Rock,4,Rock,
Y:\Oasis\Singles\Oasis - 1995.04.24 - Some Might Say,Oasis,Some Might Say,Rock,4,Rock,
